         3368320 function calls (3357377 primitive calls) in 86.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1395(MouseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:140(__init__)
       42    0.001    0.000    0.182    0.004 backend_bases.py:1434(__init__)
      728    0.000    0.000    0.000    0.000 backend_bases.py:145(open_group)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1453(PickEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1494(KeyEvent)
      728    0.000    0.000    0.000    0.000 backend_bases.py:153(close_group)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1531(FigureCanvasBase)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1561(__init__)
       10    0.000    0.000    0.000    0.000 backend_bases.py:1582(is_saving)
        5    0.000    0.000    0.000    0.000 backend_bases.py:1685(draw_event)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1695(resize_event)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1705(close_event)
       42    0.001    0.000    0.195    0.005 backend_bases.py:1811(motion_notify_event)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1915(get_width_height)
       15    0.000    0.000    0.001    0.000 backend_bases.py:2279(mpl_connect)
        3    0.000    0.000    0.001    0.000 backend_bases.py:2326(mpl_disconnect)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2540(NonGuiException)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2544(FigureManagerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2556(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2621(Cursors)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2627(NavigationToolbar2)
        2    0.000    0.000    0.053    0.026 backend_bases.py:2690(__init__)
       42    0.001    0.000    0.009    0.000 backend_bases.py:2769(mouse_move)
        1    0.000    0.000    0.309    0.309 backend_bases.py:28(<module>)
        9    0.000    0.000    0.000    0.000 backend_bases.py:3162(update)
       11    0.000    0.000    0.000    0.000 backend_bases.py:3198(set_history_buttons)
      138    0.000    0.000    0.000    0.000 backend_bases.py:596(flipy)
      815    0.003    0.000    0.009    0.000 backend_bases.py:617(new_gc)
        1    0.000    0.000    0.000    0.000 backend_bases.py:67(ShowBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:674(GraphicsContextBase)
      815    0.006    0.000    0.006    0.000 backend_bases.py:687(__init__)
      815    0.000    0.000    0.000    0.000 backend_bases.py:726(restore)
      571    0.001    0.000    0.001    0.000 backend_bases.py:757(get_clip_path)
      571    0.001    0.000    0.001    0.000 backend_bases.py:826(get_snap)
      815    0.003    0.000    0.026    0.000 backend_bases.py:839(set_alpha)
      433    0.000    0.000    0.000    0.000 backend_bases.py:855(set_antialiased)
      620    0.001    0.000    0.001    0.000 backend_bases.py:866(set_capstyle)
      138    0.000    0.000    0.000    0.000 backend_bases.py:875(set_clip_rectangle)
      815    0.001    0.000    0.001    0.000 backend_bases.py:881(set_clip_path)
      189    0.004    0.000    0.014    0.000 backend_bases.py:889(set_dashes)
     1630    0.008    0.000    0.049    0.000 backend_bases.py:907(set_foreground)
      620    0.001    0.000    0.001    0.000 backend_bases.py:930(set_joinstyle)
      677    0.001    0.000    0.001    0.000 backend_bases.py:939(set_linewidth)
      189    0.001    0.000    0.015    0.000 backend_bases.py:945(set_linestyle)
      195    0.000    0.000    0.000    0.000 backend_bases.py:967(set_url)
      677    0.001    0.000    0.001    0.000 backend_bases.py:979(set_snap)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:113(TimerTk)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:151(FigureCanvasTkAgg)
        2    0.000    0.000    0.036    0.018 backend_tkagg.py:216(__init__)
       14    0.000    0.000    0.000    0.000 backend_tkagg.py:251(filter_destroy)
        1    0.000    0.000    0.033    0.033 backend_tkagg.py:259(resize)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:286(_update_pointer_position)
        5    0.000    0.000    1.545    0.309 backend_tkagg.py:347(draw)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:369(get_tk_widget)
       42    0.002    0.000    0.197    0.005 backend_tkagg.py:376(motion_notify_event)
        1    0.000    0.000    0.137    0.137 backend_tkagg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:509(FigureManagerTkAgg)
        1    0.000    0.000    0.038    0.038 backend_tkagg.py:518(__init__)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:593(set_window_title)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:601(AxisMenu)
       29    0.000    0.000    0.000    0.000 backend_tkagg.py:61(draw_if_interactive)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:664(NavigationToolbar)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:67(Show)
        1    0.000    0.000    0.139    0.139 backend_tkagg.py:73(new_figure_manager)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:789(NavigationToolbar2TkAgg)
        2    0.000    0.000    0.053    0.026 backend_tkagg.py:796(__init__)
        1    0.000    0.000    0.015    0.015 backend_tkagg.py:803(destroy)
       42    0.000    0.000    0.004    0.000 backend_tkagg.py:807(set_message)
        1    0.000    0.000    0.137    0.137 backend_tkagg.py:82(new_figure_manager_given_figure)
        1    0.000    0.000    0.002    0.002 backend_tkagg.py:828(set_cursor)
       14    0.001    0.000    0.048    0.003 backend_tkagg.py:831(_Button)
        2    0.000    0.000    0.052    0.026 backend_tkagg.py:840(_init_toolbar)
        9    0.000    0.000    0.001    0.000 backend_tkagg.py:929(update)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:949(ToolTip)
       14    0.000    0.000    0.002    0.000 backend_tkagg.py:954(createToolTip)
        1    0.000    0.000    0.002    0.002 backend_tkagg.py:957(enter)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:959(leave)
       14    0.000    0.000    0.000    0.000 backend_tkagg.py:964(__init__)
        1    0.000    0.000    0.002    0.002 backend_tkagg.py:970(showtip)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:993(hidetip)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 bezier.py:13(NonIntersectingPathException)
        1    0.000    0.000    0.000    0.000 bezier.py:149(BezierSegment)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:120(BlockingMouseInput)
        1    0.000    0.000    0.000    0.000 blocking_input.py:23(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:293(BlockingContourLabeler)
        1    0.000    0.000    0.000    0.000 blocking_input.py:31(BlockingInput)
        1    0.000    0.000    0.000    0.000 blocking_input.py:346(BlockingKeyMouseInput)
        1    0.000    0.000    0.000    0.000 bz2.py:33(BZ2File)
        1    0.000    0.000    0.008    0.008 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:259(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:376(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:488(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:49(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:500(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:531(LocaleHTMLCalendar)
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:69(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.015    0.015 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:122(_BaseTestCaseContext)
        9    0.000    0.000    0.000    0.000 case.py:1282(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1303(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:132(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1364(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:164(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:196(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:23(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:250(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:269(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:31(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:313(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:36(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:42(_Outcome)
        1    0.000    0.000    0.000    0.000 cbook.py:1000(RingBuffer)
        1    0.000    0.000    0.000    0.000 cbook.py:1006(__Full)
      172    0.002    0.000    0.010    0.000 cbook.py:1079(dedent)
        1    0.000    0.000    0.000    0.000 cbook.py:1239(maxdict)
        9    0.000    0.000    0.000    0.000 cbook.py:1245(__init__)
       50    0.001    0.000    0.001    0.000 cbook.py:1250(__setitem__)
        1    0.000    0.000    0.000    0.000 cbook.py:1259(Stack)
       14    0.000    0.000    0.000    0.000 cbook.py:126(deprecated)
        5    0.000    0.000    0.000    0.000 cbook.py:1266(__init__)
       19    0.000    0.000    0.000    0.000 cbook.py:1296(push)
       35    0.000    0.000    0.000    0.000 cbook.py:1316(clear)
        6    0.000    0.000    0.000    0.000 cbook.py:1321(bubble)
        3    0.000    0.000    0.000    0.000 cbook.py:1341(remove)
      232    0.011    0.000    0.014    0.000 cbook.py:1354(popall)
        1    0.000    0.000    0.000    0.000 cbook.py:1463(MemoryMonitor)
        1    0.000    0.000    0.000    0.000 cbook.py:1582(Grouper)
        2    0.000    0.000    0.000    0.000 cbook.py:1618(__init__)
       38    0.000    0.000    0.000    0.000 cbook.py:1626(clean)
       38    0.000    0.000    0.000    0.000 cbook.py:1631(<listcomp>)
       14    0.001    0.000    0.003    0.000 cbook.py:165(deprecate)
       22    0.000    0.000    0.000    0.000 cbook.py:1694(get_siblings)
       22    0.000    0.000    0.000    0.000 cbook.py:1701(<listcomp>)
        1    0.000    0.000    0.000    0.000 cbook.py:1874(<listcomp>)
      185    0.002    0.000    0.003    0.000 cbook.py:1921(is_math_text)
        1    0.000    0.000    0.000    0.000 cbook.py:1937(_NestedClassGetter)
        1    0.000    0.000    0.000    0.000 cbook.py:1957(_InstanceMethodPickler)
        1    0.000    0.000    0.000    0.000 cbook.py:270(converter)
        1    0.000    0.000    0.000    0.000 cbook.py:288(tostr)
        1    0.000    0.000    0.000    0.000 cbook.py:294(todatetime)
        1    0.000    0.000    0.000    0.000 cbook.py:308(todate)
        1    0.000    0.000    0.000    0.000 cbook.py:322(tofloat)
        1    0.000    0.000    0.000    0.000 cbook.py:33(MatplotlibDeprecationWarning)
        1    0.000    0.000    0.000    0.000 cbook.py:334(toint)
        1    0.000    0.000    0.000    0.000 cbook.py:345(_BoundMethodProxy)
       47    0.000    0.000    0.000    0.000 cbook.py:358(__init__)
       73    0.001    0.000    0.010    0.000 cbook.py:386(__call__)
        1    0.000    0.000    0.000    0.000 cbook.py:428(CallbackRegistry)
      142    0.001    0.000    0.001    0.000 cbook.py:466(__init__)
       47    0.001    0.000    0.002    0.000 cbook.py:484(connect)
       14    0.000    0.000    0.000    0.000 cbook.py:49(_generate_deprecation_message)
        3    0.000    0.000    0.001    0.000 cbook.py:501(disconnect)
      298    0.002    0.000    0.012    0.000 cbook.py:517(process)
        1    0.000    0.000    0.000    0.000 cbook.py:531(Scheduler)
        1    0.000    0.000    0.000    0.000 cbook.py:553(Timeout)
        1    0.000    0.000    0.000    0.000 cbook.py:573(Idle)
        1    0.000    0.000    0.000    0.000 cbook.py:597(silent_list)
        1    0.000    0.000    0.000    0.000 cbook.py:632(Bunch)
        1    0.000    0.000    0.000    0.000 cbook.py:645(__init__)
     4563    0.014    0.000    0.025    0.000 cbook.py:660(iterable)
     6109    0.028    0.000    0.039    0.000 cbook.py:669(is_string_like)
        1    0.000    0.000    0.331    0.331 cbook.py:7(<module>)
      843    0.008    0.000    0.008    0.000 cbook.py:710(is_numlike)
        1    0.000    0.000    0.000    0.000 cbook.py:815(Sorter)
        1    0.000    0.000    0.000    0.000 cbook.py:863(Xlator)
        1    0.000    0.000    0.000    0.000 cbook.py:923(Null)
        1    0.000    0.000    0.000    0.000 cbook.py:951(mkdirs)
        1    0.000    0.000    0.000    0.000 cbook.py:972(GetRealpathAndStat)
        1    0.000    0.000    0.000    0.000 cbook.py:973(__init__)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.004    0.004 charset.py:6(<module>)
        1    0.000    0.000    0.014    0.014 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 client.py:1165(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1216(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1221(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1224(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1227(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1232(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1235(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1238(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1252(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1255(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1258(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1261(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1264(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1271(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:219(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:273(HTTPResponse)
        1    0.000    0.000    0.103    0.103 client.py:67(<module>)
        1    0.000    0.000    0.000    0.000 client.py:719(HTTPConnection)
        1    0.000    0.000    0.000    0.000 cm.py:165(ScalarMappable)
       33    0.000    0.000    0.000    0.000 cm.py:26(_reverser)
       66    0.001    0.000    0.007    0.000 cm.py:32(revcmap)
      165    0.004    0.000    0.004    0.000 cm.py:44(<listcomp>)
       71    0.000    0.000    0.007    0.000 cm.py:49(_reverse_cmap_spec)
        2    0.000    0.000    0.000    0.000 cm.py:58(<listcomp>)
        1    0.001    0.001    0.015    0.015 cm.py:6(<module>)
      142    0.000    0.000    0.004    0.000 cm.py:62(_generate_cmap)
        1    0.000    0.000    0.000    0.000 codecs.py:251(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:300(__init__)
        5    0.000    0.000    0.000    0.000 codecs.py:310(decode)
        1    0.000    0.000    0.367    0.367 collections.py:10(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1087(EventCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1339(CircleCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1371(EllipseCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1455(PatchCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1518(TriMesh)
        1    0.000    0.000    0.000    0.000 collections.py:1588(QuadMesh)
        1    0.001    0.001    0.001    0.001 collections.py:30(Collection)
        1    0.000    0.000    0.000    0.000 collections.py:686(PathCollection)
        1    0.000    0.000    0.000    0.000 collections.py:722(PolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:783(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 collections.py:830(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:895(StarPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:902(AsteriskPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:909(LineCollection)
        1    0.000    0.000    0.000    0.000 colorbar.py:1185(ColorbarPatch)
        1    0.000    0.000    0.650    0.650 colorbar.py:20(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:214(ColorbarBase)
        1    0.000    0.000    0.000    0.000 colorbar.py:837(Colorbar)
        1    0.000    0.000    0.000    0.000 colors.py:1027(SymLogNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1141(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1209(NoNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1318(LightSource)
        1    0.000    0.000    0.000    0.000 colors.py:227(hex2color)
        1    0.000    0.000    0.000    0.000 colors.py:236(<listcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:239(ColorConverter)
     1527    0.002    0.000    0.002    0.000 colors.py:261(to_rgb)
     2418    0.024    0.000    0.051    0.000 colors.py:327(to_rgba)
      809    0.007    0.000    0.007    0.000 colors.py:346(<listcomp>)
       50    0.000    0.000    0.000    0.000 colors.py:356(<listcomp>)
        1    0.001    0.001    0.003    0.003 colors.py:48(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:480(Colormap)
      142    0.000    0.000    0.000    0.000 colors.py:492(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:662(LinearSegmentedColormap)
      142    0.001    0.000    0.001    0.000 colors.py:669(__init__)
       10    0.001    0.000    0.003    0.000 colors.py:743(from_list)
        1    0.000    0.000    0.000    0.000 colors.py:775(ListedColormap)
        1    0.000    0.000    0.000    0.000 colors.py:839(Normalize)
        1    0.000    0.000    0.000    0.000 colors.py:956(LogNorm)
        1    0.000    0.000    0.000    0.000 commondialog.py:11(<module>)
        1    0.000    0.000    0.000    0.000 commondialog.py:13(Dialog)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:100(BarContainer)
        1    0.000    0.000    0.000    0.000 container.py:108(ErrorbarContainer)
        1    0.000    0.000    0.000    0.000 container.py:117(StemContainer)
        1    0.000    0.000    0.000    0.000 container.py:4(Container)
        2    0.000    0.000    0.000    0.000 contextlib.py:96(contextmanager)
        1    0.000    0.000    0.000    0.000 contour.py:1386(QuadContourSet)
        1    0.000    0.000    0.000    0.000 contour.py:37(ClabelText)
        1    0.000    0.000    0.188    0.188 contour.py:4(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:52(ContourLabeler)
        1    0.000    0.000    0.000    0.000 contour.py:748(ContourSet)
       69    0.001    0.000    0.002    0.000 copy.py:272(_reconstruct)
       69    0.001    0.000    0.005    0.000 copy.py:67(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
       69    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       13    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 core.py:1032(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       40    0.000    0.000    0.002    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:128(MAError)
        1    0.000    0.000    0.000    0.000 core.py:131(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:153(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:155(<listcomp>)
        1    0.001    0.001    0.007    0.007 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2250(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2255(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2399(_arraymethod)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        4    0.000    0.000    0.000    0.000 core.py:2441(__get__)
        1    0.000    0.000    0.000    0.000 core.py:2469(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       31    0.000    0.000    0.000    0.000 core.py:539(filled)
        1    0.000    0.000    0.000    0.000 core.py:5564(mvoid)
     9683    0.018    0.000    0.033    0.000 core.py:5705(isMaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:5761(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:5767(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5770(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:5871(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:5926(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5928(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5938(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5940(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5982(_frommethod)
       23    0.000    0.000    0.002    0.000 core.py:5992(__init__)
       23    0.000    0.000    0.002    0.000 core.py:5997(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7187(_convert2ma)
        8    0.000    0.000    0.001    0.000 core.py:7199(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:729(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:737(__init__)
        1    0.000    0.000    0.000    0.000 core.py:751(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:757(__init__)
        1    0.000    0.000    0.000    0.000 core.py:767(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:769(__init__)
        1    0.000    0.000    0.000    0.000 core.py:782(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:784(__init__)
        1    0.000    0.000    0.000    0.000 core.py:794(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:796(__init__)
        1    0.000    0.000    0.000    0.000 core.py:805(_MaskedUnaryOperation)
       27    0.000    0.000    0.001    0.000 core.py:822(__init__)
        1    0.000    0.000    0.000    0.000 core.py:883(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 csv.py:129(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:167(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:22(Dialect)
        1    0.000    0.000    0.002    0.002 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:53(excel)
        1    0.000    0.000    0.000    0.000 csv.py:63(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:68(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:79(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:158(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.000    0.000    0.011    0.011 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1015(DayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1034(HourLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1053(MinuteLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1072(SecondLocator)
        1    0.000    0.000    0.014    0.014 dates.py:108(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1091(MicrosecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1253(DateConverter)
        1    0.000    0.000    0.000    0.000 dates.py:149(_UTC)
        1    0.000    0.000    0.000    0.000 dates.py:232(strpdate2num)
        1    0.000    0.000    0.001    0.001 dates.py:345(DateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:432(IndexDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:459(AutoDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:527(rrulewrapper)
        1    0.000    0.000    0.000    0.000 dates.py:544(DateLocator)
        1    0.000    0.000    0.000    0.000 dates.py:593(RRuleLocator)
        1    0.000    0.000    0.000    0.000 dates.py:713(AutoDateLocator)
        1    0.000    0.000    0.000    0.000 dates.py:919(YearLocator)
        1    0.000    0.000    0.000    0.000 dates.py:975(MonthLocator)
        1    0.000    0.000    0.000    0.000 dates.py:994(WeekdayLocator)
        2    0.000    0.000    0.000    0.000 datetime.py:1002(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1290(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1300(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1808(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:1832(_create)
        5    0.000    0.000    0.000    0.000 datetime.py:252(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:263(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:275(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:283(timedelta)
        9    0.000    0.000    0.001    0.000 datetime.py:302(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:485(__neg__)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:616(date)
        5    0.000    0.000    0.000    0.000 datetime.py:646(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:909(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:978(time)
        1    0.001    0.001    0.025    0.025 decimal.py:113(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:180(DecimalException)
        1    0.000    0.000    0.000    0.000 decimal.py:203(Clamped)
        1    0.000    0.000    0.000    0.000 decimal.py:215(InvalidOperation)
        1    0.000    0.000    0.000    0.000 decimal.py:244(ConversionSyntax)
        1    0.000    0.000    0.000    0.000 decimal.py:254(DivisionByZero)
        1    0.000    0.000    0.000    0.000 decimal.py:270(DivisionImpossible)
        1    0.000    0.000    0.000    0.000 decimal.py:281(DivisionUndefined)
        1    0.000    0.000    0.000    0.000 decimal.py:292(Inexact)
        1    0.000    0.000    0.000    0.000 decimal.py:304(InvalidContext)
        1    0.000    0.000    0.000    0.000 decimal.py:318(Rounded)
        1    0.000    0.000    0.000    0.000 decimal.py:330(Subnormal)
        1    0.000    0.000    0.000    0.000 decimal.py:341(Overflow)
        1    0.000    0.000    0.000    0.000 decimal.py:379(Underflow)
        1    0.000    0.000    0.000    0.000 decimal.py:3852(_ContextManager)
        1    0.000    0.000    0.000    0.000 decimal.py:3867(Context)
        3    0.000    0.000    0.001    0.000 decimal.py:3886(__init__)
       38    0.000    0.000    0.000    0.000 decimal.py:3911(<genexpr>)
       30    0.000    0.000    0.000    0.000 decimal.py:3918(<genexpr>)
       15    0.000    0.000    0.000    0.000 decimal.py:3922(_set_integer_check)
        6    0.000    0.000    0.000    0.000 decimal.py:3936(_set_signal_dict)
        1    0.000    0.000    0.000    0.000 decimal.py:394(FloatOperation)
       27    0.000    0.000    0.000    0.000 decimal.py:3947(__setattr__)
        1    0.000    0.000    0.000    0.000 decimal.py:547(Decimal)
        6    0.000    0.000    0.000    0.000 decimal.py:556(__new__)
        1    0.000    0.000    0.000    0.000 decimal.py:5592(_WorkRep)
        1    0.000    0.000    0.000    0.000 decimal.py:5830(_Log10Memoize)
        1    0.000    0.000    0.000    0.000 decimal.py:5834(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
