         3368320 function calls (3357377 primitive calls) in 86.553 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:666(_code_to_bytecode)
     1198    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(__init__)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:732(__enter__)
      248    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:739(__exit__)
      990    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
      417    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      360    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:790(__init__)
      496    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:824(cached)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:842(parent)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      383    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      275    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:99(_write_atomic)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      520    0.001    0.000    0.002    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 Image.py:1710(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1745(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1749(ImageTransformHandler)
        1    0.000    0.000    0.016    0.016 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:33(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:417(_E)
        1    0.000    0.000    0.000    0.000 Image.py:447(Image)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:76(_Feature)
        8    0.000    0.000    0.000    0.000 __future__.py:77(__init__)
        7    0.002    0.000    0.244    0.035 __init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
       62    0.000    0.000    0.004    0.000 __init__.py:1001(bind)
        1    0.000    0.000    0.000    0.000 __init__.py:1029(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1053(PlaceHolder)
        1    0.001    0.001    0.316    0.316 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1073(quit)
        3    0.000    0.000    0.000    0.000 __init__.py:1076(_getints)
        1    0.000    0.000    0.000    0.000 __init__.py:1084(_getboolean)
        1    0.000    0.000    0.000    0.000 __init__.py:1084(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:1097(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1102(__init__)
       53    0.001    0.000    0.002    0.000 __init__.py:1104(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ModuleDeprecationWarning)
       61    0.001    0.000    0.002    0.000 __init__.py:1129(nametowidget)
        1    0.000    0.000    0.000    0.000 __init__.py:1138(use)
       82    0.001    0.000    0.002    0.000 __init__.py:1146(_register)
        2    0.000    0.000    0.000    0.000 __init__.py:115(compare_versions)
       62    0.000    0.000    0.000    0.000 __init__.py:1168(_root)
       59    0.006    0.000    0.016    0.000 __init__.py:1177(_substitute)
        1    0.000    0.000    0.000    0.000 __init__.py:118(Event)
      649    0.007    0.000    0.007    0.000 __init__.py:1183(getint_event)
        2    0.000    0.000    0.000    0.000 __init__.py:1192(get_backend)
       30    0.000    0.000    0.000    0.000 __init__.py:1204(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:1252(_configure)
        1    0.000    0.000    0.002    0.002 __init__.py:1264(configure)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:1324(grid_bbox)
        1    0.000    0.000    0.000    0.000 __init__.py:134(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.139    0.139 __init__.py:14(pylab_setup)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1477(CallWrapper)
       82    0.000    0.000    0.000    0.000 __init__.py:1480(__init__)
    62/48    0.001    0.000   72.079    1.502 __init__.py:1485(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1497(XView)
        1    0.000    0.000    0.096    0.096 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1518(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1522(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1528(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1536(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1539(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1623(wm_geometry)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        2    0.000    0.000    0.000    0.000 __init__.py:1667(wm_iconname)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1721(wm_minsize)
        1    0.000    0.000    0.000    0.000 __init__.py:1728(wm_overrideredirect)
        2    0.000    0.000    0.000    0.000 __init__.py:174(_checkLevel)
        3    0.000    0.000    0.001    0.000 __init__.py:1741(wm_protocol)
        4    0.000    0.000    0.000    0.000 __init__.py:175(ascii)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        4    0.000    0.000    0.000    0.000 __init__.py:1768(wm_title)
        2    0.000    0.000    0.000    0.000 __init__.py:1777(wm_withdraw)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(Tk)
        2    0.000    0.000    0.553    0.276 __init__.py:1788(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:1818(_loadtk)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.027    0.027 __init__.py:1846(destroy)
        2    0.000    0.000    0.001    0.001 __init__.py:1855(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1881(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:190(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:1906(Pack)
       24    0.000    0.000    0.002    0.000 __init__.py:1910(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1951(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        2    0.000    0.000    0.000    0.000 __init__.py:197(__init__)
        2    0.000    0.000    0.006    0.003 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:2001(Grid)
        1    0.000    0.000    0.000    0.000 __init__.py:203(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2054(BaseWidget)
       25    0.000    0.000    0.001    0.000 __init__.py:2056(_setup)
       25    0.001    0.000    0.048    0.002 __init__.py:2081(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:2090(<listcomp>)
     15/6    0.001    0.000    0.023    0.004 __init__.py:2097(destroy)
        6    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:2108(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2115(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2117(__init__)
        4    0.000    0.000    0.019    0.005 __init__.py:212(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:212(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2143(Button)
       17    0.000    0.000    0.045    0.003 __init__.py:2145(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(Canvas)
        2    0.000    0.000    0.002    0.001 __init__.py:2205(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:223(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:226(__del__)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        3    0.000    0.000    0.027    0.009 __init__.py:2280(_create)
        3    0.000    0.000    0.027    0.009 __init__.py:2297(create_image)
        2    0.000    0.000    0.000    0.000 __init__.py:231(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:2322(delete)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
       44    0.000    0.000    0.004    0.000 __init__.py:234(set)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:2444(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:246(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2473(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:250(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2538(Frame)
        2    0.000    0.000    0.000    0.000 __init__.py:2540(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:2556(Label)
        3    0.000    0.000    0.002    0.001 __init__.py:2558(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2578(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:262(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:263(c_wchar)
        1    0.000    0.000    0.001    0.001 __init__.py:266(_reset_cache)
        2    0.000    0.000    0.000    0.000 __init__.py:266(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:2672(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:275(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:277(set_fileo)
        2    0.000    0.000    0.000    0.000 __init__.py:278(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2797(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2802(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2807(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2834(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:2867(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:2907(Text)
      892    0.002    0.000    0.005    0.000 __init__.py:292(report)
        1    0.000    0.000    0.000    0.000 __init__.py:297(IntVar)
       22    0.002    0.000    0.046    0.002 __init__.py:297(namedtuple)
        2    0.000    0.000    0.031    0.016 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:303(wrap)
        1    0.000    0.000    0.014    0.014 __init__.py:31(<module>)
     14/8    0.000    0.000    0.020    0.003 __init__.py:313(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:316(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
      892    0.003    0.000    0.003    0.000 __init__.py:324(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:3272(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3283(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3320(Image)
       18    0.001    0.000    0.012    0.001 __init__.py:3323(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:3345(__str__)
        9    0.000    0.000    0.001    0.000 __init__.py:3346(__del__)
        1    0.000    0.000    0.000    0.000 __init__.py:335(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:335(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3380(PhotoImage)
       18    0.000    0.000    0.013    0.001 __init__.py:3382(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3440(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:345(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:3455(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:354(PercentStyle)
      114    0.000    0.000    0.001    0.000 __init__.py:357(<genexpr>)
        1    0.000    0.000   84.441   84.441 __init__.py:357(mainloop)
      114    0.000    0.000    0.001    0.000 __init__.py:359(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:360(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3613(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:3635(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:369(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:373(Misc)
        1    0.000    0.000    0.000    0.000 __init__.py:374(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:378(StringTemplateStyle)
        1    0.000    0.000    0.014    0.014 __init__.py:38(<module>)
       16    0.000    0.000    0.001    0.000 __init__.py:380(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:3826(Studbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3834(Tributton)
        1    0.000    0.000    0.000    0.000 __init__.py:402(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:408(checkdep_ps_distiller)
      525    0.009    0.000    0.045    0.000 __init__.py:41(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:414(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.010    0.010 __init__.py:44(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:444(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:446(__init__)
        1    0.000    0.000    0.034    0.034 __init__.py:45(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:464(focus_set)
        3    0.000    0.000    0.000    0.000 __init__.py:479(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:480(CFunctionType)
        9    0.000    0.000    0.001    0.000 __init__.py:485(_get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:50(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:530(_get_xdg_config_dir)
        3    0.000    0.000    0.001    0.000 __init__.py:543(_get_xdg_cache_dir)
        4    0.000    0.000    0.020    0.005 __init__.py:556(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:575(BufferingFormatter)
     1246    0.008    0.000    0.009    0.000 __init__.py:58(__setitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:593(_get_configdir)
        2    0.000    0.000    0.017    0.008 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:617(Filter)
        3    0.000    0.000    0.020    0.007 __init__.py:618(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:630(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:654(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:659(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:671(_get_data_path_cached)
        1    0.000    0.000    0.040    0.040 __init__.py:7(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:704(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:726(_addHandlerRef)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:736(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:745(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:774(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:786(RcParams)
      197    0.000    0.000    0.000    0.000 __init__.py:795(<genexpr>)
        4    0.000    0.000    0.000    0.000 __init__.py:800(__setitem__)
    29147    0.074    0.000    0.074    0.000 __init__.py:816(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:821(winfo_pointerxy)
     2258    0.002    0.000    0.002    0.000 __init__.py:83(__iter__)
        2    0.000    0.000    0.000    0.000 __init__.py:842(winfo_rootx)
        2    0.000    0.000    0.000    0.000 __init__.py:847(winfo_rooty)
        1    0.000    0.000    0.004    0.004 __init__.py:872(rc_params)
        1    0.000    0.000    0.006    0.006 __init__.py:88(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:888(rc_params_from_file)
        2    0.000    0.000    0.000    0.000 __init__.py:894(winfo_toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:91(process_projection_requirements)
        1    0.000    0.000    0.000    0.000 __init__.py:912(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:921(StreamHandler)
        5    0.000    0.000    0.003    0.001 __init__.py:967(update_idletasks)
        1    0.000    0.000    0.000    0.000 __init__.py:972(FileHandler)
       78    0.001    0.000    0.001    0.000 __init__.py:98(_cnfmerge)
       62    0.001    0.000    0.004    0.000 __init__.py:984(_bind)
        1    0.000    0.000    0.000    0.000 __init__.py:985(<listcomp>)
        1    0.001    0.001    0.501    0.501 __init__.py:99(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _cm.py:57(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
        3    0.000    0.000    0.000    0.000 _cm.py:96(get_color_function)
       39    0.000    0.000    0.000    0.000 _collections_abc.py:135(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:167(__subclasshook__)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:170(<genexpr>)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:403(get)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:410(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:418(keys)
       39    0.000    0.000    0.000    0.000 _collections_abc.py:422(items)
      520    0.002    0.000    0.002    0.000 _collections_abc.py:426(values)
      561    0.001    0.000    0.001    0.000 _collections_abc.py:443(__init__)
       39    0.000    0.000    0.000    0.000 _collections_abc.py:462(__iter__)
      492    0.001    0.000    0.001    0.000 _collections_abc.py:483(__iter__)
     1727    0.005    0.000    0.007    0.000 _collections_abc.py:498(__iter__)
      525    0.010    0.000    0.035    0.000 _collections_abc.py:562(update)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:136(<genexpr>)
       59    0.000    0.000    0.000    0.000 _compat_pickle.py:137(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
